permno,date,prc,ret
13983,2024-10-24,7.57000,-0.003947
13983,2024-10-25,7.57000,0.000000
13983,2024-10-28,7.67000,0.013210
13983,2024-10-29,7.75000,0.010430
13983,2024-10-30,7.64000,-0.014194
13983,2024-10-31,7.44000,-0.026178
13983,2024-11-01,7.48000,0.005376
13983,2024-11-04,7.47000,-0.001337
13983,2024-11-05,7.54000,0.009371
13983,2024-11-06,7.43000,-0.014589
13983,2024-11-07,7.25000,-0.024226
13983,2024-11-08,7.16000,-0.012414
13983,2024-11-11,7.36000,0.027933
13983,2024-11-12,7.47000,0.014946
13983,2024-11-13,7.38000,-0.012048
13983,2024-11-14,7.59000,0.028455
13983,2024-11-15,7.20000,-0.051383
13983,2024-11-18,7.07000,-0.018056
13983,2024-11-19,7.09000,0.002829
13983,2024-11-20,7.14000,0.007052
13983,2024-11-21,7.19000,0.007003
13983,2024-11-22,7.32000,0.018081
13983,2024-11-25,7.53000,0.028689
13983,2024-11-26,7.41000,-0.015936
13983,2024-11-27,7.41000,0.000000
13983,2024-11-29,7.39000,-0.002699
13983,2024-12-02,7.65000,0.035183
13983,2024-12-03,7.51000,-0.018301
13983,2024-12-04,7.67000,0.021305
13983,2024-12-05,7.64000,-0.003911
13983,2024-12-06,7.61000,-0.003927
13983,2024-12-09,7.75000,0.018397
13983,2024-12-10,7.75000,0.000000
13983,2024-12-11,7.62000,-0.016774
13983,2024-12-12,7.47000,-0.019685
13983,2024-12-13,7.50000,0.004016
13983,2024-12-16,7.46000,-0.005333
13983,2024-12-17,7.32000,-0.018767
13983,2024-12-18,6.99000,-0.045082
13983,2024-12-19,7.00000,0.001431
13983,2024-12-20,7.04000,0.005714
13983,2024-12-23,7.07000,0.004261
13983,2024-12-24,7.04000,-0.004243
13983,2024-12-26,7.09000,0.007102
13983,2024-12-27,6.99000,-0.014104
13983,2024-12-30,6.92000,-0.010014
13983,2024-12-31,6.96000,0.005780
16318,2024-10-24,107.20000,0.015440
16318,2024-10-25,110.38000,0.029664
16318,2024-10-28,110.06000,-0.002899
16318,2024-10-29,113.27000,0.029166
16318,2024-10-30,109.22000,-0.035755
16318,2024-10-31,105.25000,-0.036349
16318,2024-11-01,103.12000,-0.020238
16318,2024-11-04,103.89000,0.007467
16318,2024-11-05,107.13000,0.031187
16318,2024-11-06,104.16000,-0.027723
16318,2024-11-07,116.07000,0.114343
16318,2024-11-08,120.20000,0.035582
16318,2024-11-11,134.14999,0.116057
16318,2024-11-12,131.33000,-0.021021
16318,2024-11-13,122.96000,-0.063733
16318,2024-11-14,123.11000,0.001220
16318,2024-11-15,121.33000,-0.014459
16318,2024-11-18,122.66000,0.010962
16318,2024-11-19,121.71000,-0.007745
16318,2024-11-20,119.00000,-0.022266
16318,2024-11-21,122.47000,0.029160
16318,2024-11-22,126.42000,0.032253
16318,2024-11-25,129.92999,0.027765
16318,2024-11-26,124.29000,-0.043408
16318,2024-11-27,127.15000,0.023011
16318,2024-11-29,129.52000,0.018639
16318,2024-12-02,130.71001,0.009188
16318,2024-12-03,127.41000,-0.025247
16318,2024-12-04,136.39999,0.070560
16318,2024-12-05,131.23000,-0.037903
16318,2024-12-06,139.60001,0.063781
16318,2024-12-09,140.46001,0.006160
16318,2024-12-10,137.60001,-0.020362
16318,2024-12-11,138.47000,0.006323
16318,2024-12-12,131.50999,-0.050264
16318,2024-12-13,140.63000,0.069348
16318,2024-12-16,140.27000,-0.002560
16318,2024-12-17,134.89000,-0.038355
16318,2024-12-18,127.20000,-0.057009
16318,2024-12-19,129.09000,0.014859
16318,2024-12-20,128.66000,-0.003331
16318,2024-12-23,128.95000,0.002254
16318,2024-12-24,131.91000,0.022955
16318,2024-12-26,130.89999,-0.007657
16318,2024-12-27,127.76000,-0.023988
16318,2024-12-30,127.11000,-0.005088
16318,2024-12-31,125.55000,-0.012273
82642,2024-10-24,88.63000,0.009568
82642,2024-10-25,87.25000,-0.015570
82642,2024-10-28,88.72000,0.016848
82642,2024-10-29,88.75000,0.000338
82642,2024-10-30,87.15000,-0.018028
82642,2024-10-31,68.94000,-0.208950
82642,2024-11-01,66.58000,-0.034233
82642,2024-11-04,66.45000,-0.001953
82642,2024-11-05,65.86000,-0.008879
82642,2024-11-06,63.28000,-0.039174
82642,2024-11-07,66.31000,0.047882
82642,2024-11-08,63.90000,-0.036344
82642,2024-11-11,64.59000,0.010798
82642,2024-11-12,62.74000,-0.028642
82642,2024-11-13,62.86000,0.001913
82642,2024-11-14,64.83000,0.031340
82642,2024-11-15,63.75000,-0.016659
82642,2024-11-18,64.57000,0.012863
82642,2024-11-19,64.79000,0.003407
82642,2024-11-20,65.33000,0.008335
82642,2024-11-21,66.84000,0.023113
82642,2024-11-22,69.93000,0.046230
82642,2024-11-25,72.97000,0.043472
82642,2024-11-26,73.18000,0.002878
82642,2024-11-27,73.96000,0.010659
82642,2024-11-29,72.12000,-0.020146
82642,2024-12-02,75.98000,0.053522
82642,2024-12-03,77.48000,0.019742
82642,2024-12-04,79.29000,0.023361
82642,2024-12-05,78.17000,-0.014125
82642,2024-12-06,79.32000,0.014712
82642,2024-12-09,81.68000,0.029753
82642,2024-12-10,82.58000,0.011019
82642,2024-12-11,81.22000,-0.016469
82642,2024-12-12,81.02000,-0.002463
82642,2024-12-13,80.04000,-0.012096
82642,2024-12-16,79.57000,-0.005872
82642,2024-12-17,78.18000,-0.017469
82642,2024-12-18,74.96000,-0.041187
82642,2024-12-19,74.70000,-0.003469
82642,2024-12-20,74.36000,-0.004551
82642,2024-12-23,74.75000,0.005245
82642,2024-12-24,75.08000,0.004415
82642,2024-12-26,75.00000,-0.001066
82642,2024-12-27,74.62000,-0.005067
82642,2024-12-30,74.19000,-0.005763
82642,2024-12-31,74.98000,0.010648
